category,category.member,domain,prod.freq,prod.freq.percent,mean.rank,first.rank.freq,first.rank.freq.percent,weighted.rank,mean.RT,typicality,wordfreq.SUBTLEXUK,word.length,AoA.Kuperman,concreteness.Brysbaert
academic subject,accounting,Abstract,2,0.1,6.5,NA,NA,53,NA,3.583333333,3.43,10,12.05,3.27
academic subject,advertising,Abstract,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
academic subject,anthropology,Abstract,1,0.05,3,NA,NA,30,NA,NA,NA,NA,NA,NA
academic subject,arabic,Abstract,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
academic subject,archaeology,Abstract,1,0.05,2,NA,NA,31,NA,NA,NA,NA,NA,NA
academic subject,art,Abstract,9,0.45,10.66666667,NA,NA,201,NA,3.75,5.15,3,6.21,4.17
academic subject,biology,Abstract,14,0.7,7.357142857,1,0.05,359,1.907,4.75,3.8,7,9.35,3.48
academic subject,biomedical sciences,Abstract,1,0.05,14,NA,NA,19,NA,NA,NA,NA,NA,NA
academic subject,biomedicine,Abstract,1,0.05,22,NA,NA,11,NA,NA,NA,NA,NA,NA
academic subject,business,Abstract,2,0.1,8,NA,NA,50,NA,3.25,5.47,8,7.47,3.28
academic subject,business administration,Abstract,1,0.05,14,NA,NA,19,NA,NA,NA,NA,NA,NA
academic subject,business management,Abstract,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
academic subject,business studies,Abstract,5,0.25,12.6,NA,NA,102,NA,4.083333333,NA,15,NA,NA
academic subject,business study,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,cantonese,Abstract,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
academic subject,chemical engineering,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,chemistry,Abstract,13,0.65,6.307692308,NA,NA,347,NA,4.666666667,3.95,9,9.94,3.64
academic subject,civil engineering,Abstract,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
academic subject,computer science,Abstract,5,0.25,13,NA,NA,100,NA,4,NA,15,NA,NA
academic subject,computing,Abstract,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
academic subject,creative writing,Abstract,3,0.15,8.666666667,NA,NA,73,NA,NA,NA,15,NA,NA
academic subject,criminology,Abstract,3,0.15,7.666666667,NA,NA,76,NA,3.75,2.42,11,15.63,2.83
academic subject,dentistry,Abstract,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
academic subject,design technology,Abstract,1,0.05,8,NA,NA,25,NA,NA,NA,NA,NA,NA
academic subject,drama,Abstract,4,0.2,12,NA,NA,84,NA,3.25,4.52,5,7.39,2.34
academic subject,economics,Abstract,7,0.35,8.142857143,1,0.05,174,3.817,4.5,4.04,9,12.3,1.77
academic subject,engineering,Abstract,4,0.2,10.25,NA,NA,91,NA,4.416666667,4.22,11,12.06,2.69
academic subject,english,Abstract,9,0.45,2.444444444,2,0.1,275,2.808,NA,5.1,7,NA,NA
academic subject,english language,Abstract,7,0.35,6,1,0.05,189,5.623,NA,NA,15,NA,NA
academic subject,english literature,Abstract,10,0.5,6.5,NA,NA,265,NA,4.666666667,NA,17,NA,NA
academic subject,ethics,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,film studies,Abstract,1,0.05,22,NA,NA,11,NA,NA,NA,NA,NA,NA
academic subject,food technology,Abstract,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
academic subject,foreign language,Abstract,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
academic subject,forensic psychology,Abstract,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
academic subject,french,Abstract,12,0.6,8.75,NA,NA,291,NA,NA,5.04,6,NA,NA
academic subject,geography,Abstract,13,0.65,7.153846154,3,0.15,336,2.437,4.5,4.28,9,8.15,3.11
academic subject,geology,Abstract,1,0.05,27,NA,NA,6,NA,NA,NA,NA,NA,NA
academic subject,german,Abstract,7,0.35,10.71428571,NA,NA,156,NA,NA,4.76,6,NA,NA
academic subject,greek,Abstract,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
academic subject,healthcare,Abstract,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
academic subject,history,Abstract,14,0.7,8.428571429,NA,NA,344,NA,4.833333333,5.25,7,6.42,2.96
academic subject,i.t.,Abstract,2,0.1,9,NA,NA,48,NA,NA,NA,4,NA,NA
academic subject,ict,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,italian,Abstract,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
academic subject,languages,Abstract,2,0.1,10,NA,NA,46,NA,4.5,3.87,9,NA,NA
academic subject,latin,Abstract,1,0.05,24,NA,NA,9,NA,NA,NA,NA,NA,NA
academic subject,law,Abstract,7,0.35,9.142857143,1,0.05,167,1.866,4.25,5.05,3,8.33,2.57
academic subject,linguistics,Abstract,3,0.15,3.666666667,2,0.1,88,2.9735,3.333333333,2.47,11,14.24,2.63
academic subject,management,Abstract,2,0.1,11,NA,NA,44,NA,2.666666667,4.51,10,10.05,2.72
academic subject,mandarin,Abstract,3,0.15,17.66666667,NA,NA,46,NA,3,3.23,8,10.35,3.67
academic subject,marketing,Abstract,3,0.15,12,NA,NA,63,NA,2.583333333,4.1,9,12.25,2.33
academic subject,math,Abstract,1,0.05,1,1,0.05,32,3.093,NA,NA,NA,NA,NA
academic subject,mathematics,Abstract,6,0.3,6.333333333,NA,NA,160,NA,5,3.73,11,6.78,2.52
academic subject,maths,Abstract,12,0.6,2.083333333,6,0.3,371,2.407,5,4.35,5,NA,NA
academic subject,mechanics,Abstract,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
academic subject,media studies,Abstract,2,0.1,20,NA,NA,26,NA,3.25,NA,12,NA,NA
academic subject,medicine,Abstract,3,0.15,10.33333333,NA,NA,68,NA,4.166666667,4.31,8,4.89,4.79
academic subject,modern foreign languages,Abstract,1,0.05,14,NA,NA,19,NA,NA,NA,NA,NA,NA
academic subject,music,Abstract,4,0.2,8.5,NA,NA,98,NA,4.166666667,5.35,5,3.81,4.31
academic subject,neurology,Abstract,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
academic subject,pe,Abstract,2,0.1,18.5,NA,NA,29,NA,3.416666667,3.53,2,NA,NA
academic subject,philosophy,Abstract,5,0.25,12.2,NA,NA,104,NA,4.083333333,3.9,10,13.21,2.14
academic subject,physical education,Abstract,2,0.1,6.5,NA,NA,53,NA,2.916666667,NA,17,NA,3.03
academic subject,physics,Abstract,12,0.6,6.25,NA,NA,321,NA,4.833333333,3.96,7,11.68,3.07
academic subject,politics,Abstract,5,0.25,9,NA,NA,120,NA,4,4.96,8,9.37,2.66
academic subject,psychology,Abstract,18,0.9,7.111111111,1,0.05,466,1.578,4.583333333,3.65,10,11.72,2.31
academic subject,re,Abstract,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
academic subject,religious education,Abstract,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
academic subject,religious studies,Abstract,4,0.2,9.25,NA,NA,95,NA,NA,NA,16,NA,NA
academic subject,russian,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,science,Abstract,4,0.2,3,NA,NA,120,NA,4.916666667,4.8,7,7.32,2.79
academic subject,sociology,Abstract,13,0.65,11.23076923,1,0.05,283,2.444,3.916666667,2.74,9,12.83,1.79
academic subject,spanish,Abstract,10,0.5,11.4,NA,NA,216,NA,NA,4.5,7,NA,NA
academic subject,sports science,Abstract,2,0.1,22.5,NA,NA,21,NA,3.25,NA,13,NA,NA
academic subject,sports sciences,Abstract,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
academic subject,statistics,Abstract,2,0.1,12,NA,NA,42,NA,3.333333333,4.24,10,11.55,3.39
academic subject,technology,Abstract,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
academic subject,veterinary sciences,Abstract,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
academic subject,world literature,Abstract,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,absinthe,Concrete,2,0.1,7,NA,NA,52,NA,3.5,2.68,8,16.29,4.3
alcoholic drink,alcopop,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
alcoholic drink,alcopops,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
alcoholic drink,ale,Concrete,1,0.05,8,NA,NA,25,NA,NA,NA,NA,NA,NA
alcoholic drink,ales,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
alcoholic drink,amaretto,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,archers,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
alcoholic drink,bacardi,Concrete,2,0.1,4.5,1,0.05,57,4.286,NA,2.6,7,NA,NA
alcoholic drink,baileys,Concrete,3,0.15,7.666666667,NA,NA,76,NA,NA,2.49,7,NA,NA
alcoholic drink,beer,Concrete,16,0.8,3.25,6,0.3,476,3.549,4.666666667,4.47,4,6.11,4.88
alcoholic drink,bitter,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,brandy,Concrete,3,0.15,6.666666667,NA,NA,79,NA,4.916666667,3.83,6,12.1,4.81
alcoholic drink,carling,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,champagne,Concrete,6,0.3,7.666666667,NA,NA,152,NA,4.75,4.22,9,10.26,4.82
alcoholic drink,cider,Concrete,9,0.45,5.444444444,NA,NA,248,NA,4.5,3.93,5,5.83,4.97
alcoholic drink,cinzano,Concrete,1,0.05,8,NA,NA,25,NA,NA,NA,NA,NA,NA
alcoholic drink,cocktail,Concrete,5,0.25,6.2,NA,NA,134,NA,4.416666667,4,8,9.53,4.4
alcoholic drink,dessert wine,Concrete,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
alcoholic drink,estrella,Concrete,1,0.05,8,NA,NA,25,NA,NA,NA,NA,NA,NA
alcoholic drink,excess consumption,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
alcoholic drink,gin,Concrete,13,0.65,5.615384615,1,0.05,356,3.499,4.583333333,3.89,3,12.06,4.46
alcoholic drink,gin and tonic,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
alcoholic drink,gordons,Concrete,1,0.05,8,NA,NA,25,NA,NA,NA,NA,NA,NA
alcoholic drink,guinness,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,jack daniels,Concrete,1,0.05,3,NA,NA,30,NA,NA,NA,NA,NA,NA
alcoholic drink,jager,Concrete,2,0.1,11,NA,NA,44,NA,NA,1.9,5,NA,NA
alcoholic drink,jagerbomb,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
alcoholic drink,jagerbombs,Concrete,1,0.05,3,NA,NA,30,NA,NA,NA,NA,NA,NA
alcoholic drink,jagermeister,Concrete,2,0.1,7.5,NA,NA,51,NA,NA,1.47,12,NA,NA
alcoholic drink,kopparberg,Concrete,1,0.05,10,NA,NA,23,NA,NA,NA,NA,NA,NA
alcoholic drink,lager,Concrete,4,0.2,5.75,NA,NA,109,NA,4.75,3.56,5,14,4.64
alcoholic drink,liqueur,Concrete,2,0.1,9,NA,NA,48,NA,4.666666667,3.32,7,12.4,4.64
alcoholic drink,malibu,Concrete,4,0.2,5.5,1,0.05,110,2.838,NA,2.78,6,NA,NA
alcoholic drink,martini,Concrete,1,0.05,3,NA,NA,30,NA,NA,NA,NA,NA,NA
alcoholic drink,mead,Concrete,2,0.1,6.5,NA,NA,53,NA,3.454545455,3.35,4,11.38,4.22
alcoholic drink,mixers,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,mojito,Concrete,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
alcoholic drink,moonshine,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,passoa,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
alcoholic drink,peach schnapps,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
alcoholic drink,pina colada,Concrete,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
alcoholic drink,pink wine,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,port,Concrete,3,0.15,8.666666667,NA,NA,73,NA,4.5,4.49,4,9.32,4.41
alcoholic drink,problematic consumption,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,prosecco,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
alcoholic drink,red wine,Concrete,7,0.35,5.142857143,1,0.05,195,4.815,4.833333333,NA,7,NA,NA
alcoholic drink,rose wine,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
alcoholic drink,rum,Concrete,12,0.6,5.5,NA,NA,330,NA,4.833333333,3.91,3,11.56,4.93
alcoholic drink,sambucca,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
alcoholic drink,schnapps,Concrete,2,0.1,3,NA,NA,60,NA,4,2.5,8,15.62,4.48
alcoholic drink,sensible consumption,Concrete,1,0.05,10,NA,NA,23,NA,NA,NA,NA,NA,NA
alcoholic drink,sex on the beach,Concrete,3,0.15,9,NA,NA,72,NA,NA,NA,13,NA,NA
alcoholic drink,sherry,Concrete,2,0.1,9,NA,NA,48,NA,3.666666667,3.73,6,13.58,4.32
alcoholic drink,shots,Concrete,1,0.05,4,NA,NA,29,NA,NA,NA,NA,NA,NA
alcoholic drink,smirnoff,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
alcoholic drink,snakebite,Concrete,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
alcoholic drink,sours,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
alcoholic drink,southern comfort,Concrete,2,0.1,7,NA,NA,52,NA,NA,NA,15,NA,NA
alcoholic drink,spirits,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
alcoholic drink,stella artois,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
alcoholic drink,strawberry woo woo,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
alcoholic drink,tequila,Concrete,5,0.25,7.2,NA,NA,129,NA,4.916666667,3.19,7,13.67,4.77
alcoholic drink,tia maria,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,tiger,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
alcoholic drink,tonic,Concrete,1,0.05,2,NA,NA,31,NA,NA,NA,NA,NA,NA
alcoholic drink,vodka,Concrete,19,0.95,3.421052632,9,0.45,585,2.699888889,4.833333333,3.9,5,11.11,4.97
alcoholic drink,whiskey,Concrete,12,0.6,4.083333333,1,0.05,347,3.314,4.916666667,3.5,7,9.38,4.74
alcoholic drink,white wine,Concrete,7,0.35,5.857142857,NA,NA,190,NA,4.666666667,NA,9,NA,NA
alcoholic drink,wine,Concrete,12,0.6,5,NA,NA,336,NA,4.916666667,4.84,4,7.9,4.79
alcoholic drink,wkd,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
alcoholic drink,woo woo,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,aardvark,Concrete,1,0.05,4,NA,NA,29,NA,NA,NA,NA,NA,NA
animal,alligator,Concrete,1,0.05,21,NA,NA,12,NA,NA,NA,NA,NA,NA
animal,ant,Concrete,2,0.1,6,1,0.05,54,3.151,3,3.95,3,4.32,4.86
animal,anteater,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
animal,antelope,Concrete,2,0.1,14.5,NA,NA,37,NA,3.75,3.2,8,8.39,5
animal,ants,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
animal,ape,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
animal,apes,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,armadillo,Concrete,1,0.05,25,NA,NA,8,NA,NA,NA,NA,NA,NA
animal,baboon,Concrete,1,0.05,23,NA,NA,10,NA,NA,NA,NA,NA,NA
animal,badger,Concrete,3,0.15,11,NA,NA,66,NA,4.666666667,3.97,6,8.74,4.37
animal,bat,Concrete,2,0.1,8,NA,NA,50,NA,3.5,4.3,3,4.85,5
animal,bear,Concrete,2,0.1,14.5,NA,NA,37,NA,4.416666667,4.88,4,3.58,4.88
animal,bears,Concrete,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
animal,bee,Concrete,1,0.05,21,NA,NA,12,NA,NA,NA,NA,NA,NA
animal,beetle,Concrete,1,0.05,26,NA,NA,7,NA,NA,NA,NA,NA,NA
animal,bird,Concrete,5,0.25,14,NA,NA,95,NA,3.416666667,4.85,4,3.52,5
animal,bug,Concrete,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
animal,butterflies,Concrete,1,0.05,22,NA,NA,11,NA,NA,NA,NA,NA,NA
animal,butterfly,Concrete,2,0.1,15.5,NA,NA,35,NA,2.833333333,4.03,9,3.67,4.93
animal,camel,Concrete,2,0.1,21.5,NA,NA,23,NA,3.75,3.8,5,5.11,4.93
animal,cat,Concrete,20,1,3.8,4,0.2,584,2.58575,5,4.83,3,3.68,4.86
animal,caterpillar,Concrete,1,0.05,24,NA,NA,9,NA,NA,NA,NA,NA,NA
animal,centipede,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
animal,cheetah,Concrete,4,0.2,17.75,NA,NA,61,NA,4.5,3.45,7,8.16,4.7
animal,cheetahs,Concrete,2,0.1,12.5,NA,NA,41,NA,4.833333333,2.98,8,NA,NA
animal,chicken,Concrete,4,0.2,4.25,NA,NA,115,NA,4.666666667,4.82,7,3.26,4.8
animal,chickens,Concrete,1,0.05,14,NA,NA,19,NA,NA,NA,NA,NA,NA
animal,chimpanzee,Concrete,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
animal,chimpanzees,Concrete,1,0.05,19,NA,NA,14,NA,NA,NA,NA,NA,NA
animal,chinchilla,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
animal,cobra,Concrete,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
animal,cockerel,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
animal,cockroach,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,cow,Concrete,10,0.5,8.8,2,0.1,242,2.6445,5,4.44,3,3.94,4.96
animal,cows,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
animal,crab,Concrete,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
animal,crocodile,Concrete,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
animal,crow,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,deer,Concrete,3,0.15,19.33333333,NA,NA,41,NA,4.75,4.26,4,5.17,4.86
animal,dinosaur,Concrete,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
animal,dog,Concrete,19,0.95,5,4,0.2,532,3.2255,4.833333333,5.17,3,2.8,4.85
animal,dogs,Concrete,1,0.05,2,NA,NA,31,NA,NA,NA,NA,NA,NA
animal,dolphin,Concrete,4,0.2,13.25,NA,NA,79,NA,3.916666667,3.77,7,6.05,4.96
animal,dolphins,Concrete,1,0.05,27,NA,NA,6,NA,NA,NA,NA,NA,NA
animal,domestic,Concrete,1,0.05,1,1,0.05,32,4.146,NA,NA,NA,NA,NA
animal,donkey,Concrete,5,0.25,11.6,NA,NA,107,NA,4.583333333,3.99,6,6,5
animal,duck,Concrete,3,0.15,14,NA,NA,57,NA,3.25,4.53,4,3.5,4.86
animal,ducks,Concrete,2,0.1,9.5,NA,NA,47,NA,4.666666667,3.93,5,NA,NA
animal,dugong,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,dwarf hamster,Concrete,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
animal,eagle,Concrete,2,0.1,15.5,NA,NA,35,NA,3.833333333,4.11,5,5.83,5
animal,elephant,Concrete,11,0.55,11.90909091,NA,NA,232,NA,4.916666667,4.34,8,4.8,5
animal,elephants,Concrete,2,0.1,10.5,NA,NA,45,NA,5,4.06,9,NA,NA
animal,ferret,Concrete,4,0.2,16.75,NA,NA,65,NA,4.166666667,3.23,6,8.47,4.97
animal,finch,Concrete,1,0.05,6,NA,NA,27,NA,NA,NA,NA,NA,NA
animal,fish,Concrete,8,0.4,9.875,NA,NA,185,NA,2.916666667,5.19,4,4.05,5
animal,flamingo,Concrete,2,0.1,11,NA,NA,44,NA,3.75,3.21,8,6.32,4.81
animal,flamingoes,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
animal,fly,Concrete,1,0.05,23,NA,NA,10,NA,NA,NA,NA,NA,NA
animal,fox,Concrete,3,0.15,14.33333333,NA,NA,56,NA,4.333333333,4.46,3,5.02,4.97
animal,foxes,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,frog,Concrete,3,0.15,10.33333333,NA,NA,68,NA,3.75,4.05,4,4.32,5
animal,gazelle,Concrete,2,0.1,14.5,NA,NA,37,NA,4.166666667,2.84,7,9.37,4.72
animal,gerbil,Concrete,4,0.2,10,NA,NA,92,NA,NA,2.82,6,7.06,4.71
animal,giraffe,Concrete,13,0.65,11.30769231,1,0.05,282,3.656,4.583333333,3.78,7,5,4.73
animal,giraffes,Concrete,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
animal,goat,Concrete,1,0.05,7,NA,NA,26,NA,NA,NA,NA,NA,NA
animal,goats,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,goldfish,Concrete,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
animal,goose,Concrete,2,0.1,10,NA,NA,46,NA,4.416666667,4.03,5,5.15,4.81
animal,gorilla,Concrete,3,0.15,13.33333333,NA,NA,59,NA,4.75,3.73,7,5.74,4.97
animal,gorillas,Concrete,2,0.1,16,NA,NA,34,NA,4.75,3.59,8,NA,NA
animal,guinea pig,Concrete,7,0.35,10.42857143,NA,NA,158,NA,4.583333333,NA,9,NA,4.93
animal,hamster,Concrete,7,0.35,8.714285714,1,0.05,170,6.466,4.25,3.67,7,4.37,4.86
animal,hedgehog,Concrete,2,0.1,10,NA,NA,46,NA,4.5,3.72,8,8.63,4.93
animal,hens,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
animal,highland cow,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
animal,hippo,Concrete,1,0.05,20,NA,NA,13,NA,NA,NA,NA,NA,NA
animal,hippos,Concrete,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
animal,horse,Concrete,11,0.55,9.090909091,NA,NA,263,NA,4.916666667,4.99,5,4.15,5
animal,horses,Concrete,1,0.05,12,NA,NA,21,NA,NA,NA,NA,NA,NA
animal,human,Concrete,1,0.05,14,NA,NA,19,NA,NA,NA,NA,NA,NA
animal,humans,Concrete,1,0.05,27,NA,NA,6,NA,NA,NA,NA,NA,NA
animal,iguana,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
animal,insect,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
animal,insects,Concrete,1,0.05,25,NA,NA,8,NA,NA,NA,NA,NA,NA
animal,invertebrate,Concrete,1,0.05,3,NA,NA,30,NA,NA,NA,NA,NA,NA
animal,jaguar,Concrete,2,0.1,22,NA,NA,22,NA,4.75,3.55,6,7.78,4.9
animal,jellyfish,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
animal,kangaroo,Concrete,3,0.15,11.33333333,NA,NA,65,NA,4.333333333,3.62,8,5.55,4.86
animal,killer whale,Concrete,1,0.05,10,NA,NA,23,NA,NA,NA,NA,NA,NA
animal,koala,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,koala bear,Concrete,1,0.05,9,NA,NA,24,NA,NA,NA,NA,NA,NA
animal,ladybird,Concrete,1,0.05,29,NA,NA,4,NA,NA,NA,NA,NA,NA
animal,lemur,Concrete,2,0.1,16.5,NA,NA,33,NA,NA,3.09,5,11.56,NA
animal,leopard,Concrete,5,0.25,13.8,1,0.05,96,1.968,4.583333333,3.8,7,6.84,5
animal,leopards,Concrete,1,0.05,11,NA,NA,22,NA,NA,NA,NA,NA,NA
animal,lice,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,lion,Concrete,13,0.65,7.846153846,NA,NA,327,NA,4.833333333,4.45,4,4.42,4.96
animal,lizard,Concrete,3,0.15,18.66666667,NA,NA,43,NA,4,3.73,6,5.42,4.68
animal,lynx,Concrete,1,0.05,25,NA,NA,8,NA,NA,NA,NA,NA,NA
animal,mammal,Concrete,1,0.05,1,1,0.05,32,4.344,NA,NA,NA,NA,NA
animal,meerkat,Concrete,2,0.1,19,NA,NA,28,NA,NA,3.45,7,NA,5
animal,meerkats,Concrete,1,0.05,21,NA,NA,12,NA,NA,NA,NA,NA,NA
animal,mice,Concrete,1,0.05,17,NA,NA,16,NA,NA,NA,NA,NA,NA
animal,molluscs,Concrete,1,0.05,4,NA,NA,29,NA,NA,NA,NA,NA,NA
animal,monkey,Concrete,6,0.3,14.5,NA,NA,111,NA,5,4.38,6,4.21,4.9
animal,monkeys,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,moth,Concrete,1,0.05,26,NA,NA,7,NA,NA,NA,NA,NA,NA
animal,mouse,Concrete,6,0.3,11,NA,NA,132,NA,4.25,4.41,5,4.94,4.83
animal,mule,Concrete,1,0.05,13,NA,NA,20,NA,NA,NA,NA,NA,NA
animal,ocelot,Concrete,1,0.05,23,NA,NA,10,NA,NA,NA,NA,NA,NA
animal,octopus,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
animal,ostrich,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
animal,panda,Concrete,2,0.1,7,NA,NA,52,NA,4.916666667,3.73,5,5.67,4.75
animal,panther,Concrete,1,0.05,5,NA,NA,28,NA,NA,NA,NA,NA,NA
animal,pelican,Concrete,1,0.05,15,NA,NA,18,NA,NA,NA,NA,NA,NA
animal,penguin,Concrete,4,0.2,10.75,1,0.05,89,2.719,4.5,3.88,7,5.68,5
animal,thylacine,Concrete,1,0.05,18,NA,NA,15,NA,NA,NA,NA,NA,NA
animal,pig,Concrete,9,0.45,8.666666667,1,0.05,219,2.051,4.916666667,4.51,3,3.84,5
animal,pigeon,Concrete,2,0.1,12,NA,NA,42,NA,3.166666667,4.03,6,6.21,4.71
animal,pigs,Concrete,2,0.1,9.5,NA,NA,47,NA,4.916666667,4.26,4,NA,NA
animal,platypus,Concrete,1,0.05,16,NA,NA,17,NA,NA,NA,NA,NA,NA
animal,polar bear,Concrete,2,0.1,28.5,NA,NA,9,NA,4.833333333,NA,9,NA,5
